"GERES-Internação";"2601 Recife";"2602 Limoeiro";"2603 Palmares";"2604 Caruaru";"2605 Garanhuns";"2606 Arcoverde";"2607 Salgueiro";"2608 Petrolina";"2609 Ouricuri";"2610 Afogados da Ingazeira";"2611 Serra Talhada";"2612 Goiana";"Outros Estados";"Total"
"2601 Recife";34634;4404;3733;5605;2008;1489;26;13;76;360;519;2494;415;55776
"2604 Caruaru";51;187;226;7613;1014;330;0;2;0;67;81;11;15;9597
"2606 Arcoverde";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"2608 Petrolina";0;0;2;1;0;12;79;6427;411;1;6;0;4080;11019
"2609 Ouricuri";0;0;0;0;0;0;0;0;98;0;0;0;0;98
